"id","title","description","is_completed","created_at","user_id"
22,walk dog,walking dog..,false,2023-12-15 20:26:38.143 +0530,1
23,Show Todo List,Create a feature to show all the todo lists,false,2023-12-15 20:38:27.413 +0530,1
24,Show Todo List,Show all the tasks in the todo list,false,2023-12-15 20:42:52.256 +0530,1
26,Show Todo List,Show all the tasks in the todo list,false,2023-12-16 23:51:12.175 +0530,1
27,Meeting with Himanshu Sir at 8 PM,Meeting with Himanshu Sir at 8 PM,false,2023-12-16 23:52:32.883 +0530,1
28,eat apple,eating an apple,false,2023-12-17 00:18:18.794 +0530,1
30,Show my todolist,"",false,2023-12-17 14:43:41.273 +0530,1
34,Meet with Himanshu Sir,Meeting with Himanshu Sir,false,2023-12-17 14:56:27.905 +0530,1
35,Meet with Himanshu Sir,Meeting with Himanshu Sir,false,2023-12-17 14:56:33.487 +0530,1
36,Ask Priyanka about integration,Ask Priyanka about integration,false,2023-12-17 15:35:43.035 +0530,1
37,Ask Priyanka about integration,Ask Priyanka about integration,false,2023-12-17 15:35:49.644 +0530,1
38,Ask Priyanka about integration,Ask Priyanka about integration,false,2023-12-17 15:36:14.711 +0530,1
39,Eat with my dog,Eating with my dog,false,2023-12-17 15:38:33.025 +0530,1
40,Eat with my dog,Eating with my dog,false,2023-12-17 15:38:37.973 +0530,1
42,Call Shekhar Sir,Call Shekhar Sir,false,2023-12-17 15:52:35.766 +0530,1
43,Call Shekhar Sir,Call Shekhar Sir,false,2023-12-17 15:52:41.953 +0530,1
45,Take cat to vet,Take the cat to the vet for a checkup,false,2023-12-17 18:25:18.904 +0530,1
46,Take cat to the vet,Taking cat to the vet,false,2023-12-17 18:48:53.244 +0530,1
47,Take cat to the vet,Taking cat to the vet,false,2023-12-17 18:48:58.749 +0530,1
48,go and eat breakfast,eat breakfast,false,2023-12-17 18:56:18.964 +0530,1
49,go and eat breakfast,eat breakfast,false,2023-12-17 18:56:24.396 +0530,1
50,Meet Hrithik,Meeting Hrithik,false,2023-12-17 19:00:40.964 +0530,1
51,Meet Hrithik,Meeting with Hrithik,false,2023-12-17 19:03:38.875 +0530,1
57,Meet Hrithik,Meeting Hrithik,false,2023-12-17 19:39:35.711 +0530,1
58,Meet Hrithik,Meeting Hrithik,false,2023-12-17 19:40:40.520 +0530,1
59,Meet Hrithik,Meeting Hrithik,false,2023-12-17 19:41:09.516 +0530,1
68,take to the vet,take the dog to the vet,false,2023-12-18 11:50:58.870 +0530,1
69,Attend Tuesday sync meet with the team,Attend the Tuesday sync meeting with the team,false,2023-12-19 09:52:05.439 +0530,1
77,Talk to Avinash,Coordinate with Avinash,false,2023-12-19 10:52:15.518 +0530,1
78,talk to avinash and coordinate,coordinate with avinash,false,2023-12-19 10:52:56.101 +0530,1
87,Buy groceries,Buy groceries for the week,false,2023-12-21 17:56:17.771 +0530,2
